,file,start_time,end_time,min_cost,s_vet
12,syntpmed13.txt,2023-07-11 16:43:40.961994,2023-07-11 16:43:47.622024,1680.0,"[97, 78, 97, 23, 111, 111, 23, 28, 111, 78, 78, 111, 78, 78, 28, 97, 97, 97, 23, 78, 97, 28, 23, 23, 97, 97, 111, 78, 28, 78, 23, 111, 78, 28, 78, 78, 78, 28, 111, 23, 111, 111, 28, 78, 78, 28, 78, 78, 97, 111, 97, 28, 97, 78, 28, 97, 78, 111, 23, 111, 78, 97, 111, 111, 28, 28, 78, 111, 28, 97, 97, 111, 78, 78, 23, 111, 78, 23, 78, 78, 111, 28, 111, 28, 28, 23, 97, 97, 23, 23, 28, 78, 23, 97, 111, 28, 28, 97, 28, 28, 23, 97, 78, 78, 23, 23, 97, 97, 23, 28, 23, 111, 97, 78, 23, 97, 28, 97, 97, 28, 97, 23, 111, 97, 78, 111, 97, 97, 23, 23, 78, 28, 111, 78, 97, 23, 78, 97, 78, 78, 23, 28, 28, 28, 111, 78, 111, 78, 78, 28]"
13,syntpmed14.txt,2023-07-11 16:43:47.661827,2023-07-11 16:43:59.270559,2288.0,"[34, 176, 176, 176, 146, 153, 34, 134, 134, 134, 134, 153, 146, 134, 34, 153, 34, 34, 146, 134, 146, 34, 146, 146, 146, 146, 34, 176, 146, 176, 176, 153, 34, 176, 34, 176, 176, 146, 153, 176, 134, 176, 146, 134, 146, 34, 34, 34, 134, 34, 146, 34, 176, 134, 134, 34, 146, 34, 153, 176, 34, 146, 146, 34, 153, 153, 34, 176, 153, 146, 134, 146, 153, 153, 176, 34, 34, 134, 153, 34, 34, 134, 134, 153, 176, 34, 153, 146, 146, 134, 176, 146, 153, 146, 146, 146, 146, 153, 176, 134, 146, 176, 153, 34, 34, 153, 34, 146, 153, 153, 34, 34, 153, 34, 134, 134, 146, 146, 134, 146, 176, 176, 34, 146, 176, 153, 34, 153, 176, 176, 146, 34, 153, 153, 134, 134, 176, 146, 176, 176, 34, 134, 146, 134, 134, 146, 146, 146, 176, 34, 153, 134, 153, 153, 153, 153, 34, 34, 146, 176, 153, 153, 153, 176, 134, 146, 134, 146, 134, 153, 176, 134, 134, 134, 134, 146, 176, 146, 34, 134, 176, 146, 176, 176, 153, 134, 176, 134, 153, 34, 153, 134, 146, 34, 34, 34, 176, 176, 153, 176]"
14,syntpmed15.txt,2023-07-11 16:43:59.273325,2023-07-11 16:43:59.724856,29.0,"[4, 1, 6, 4, 4, 6, 6, 7, 8, 9, 10, 7, 12, 4, 10, 15, 7, 4, 18, 8]"
15,syntpmed16.txt,2023-07-11 16:43:59.728555,2023-07-11 16:44:03.555313,139.0,"[0, 20, 19, 3, 37, 5, 35, 42, 12, 3, 5, 19, 12, 3, 20, 0, 3, 5, 37, 19, 20, 42, 24, 24, 24, 12, 0, 19, 19, 37, 35, 12, 12, 20, 12, 35, 42, 37, 5, 5, 5, 35, 42, 35, 12, 3, 0, 19, 3, 19]"
16,syntpmed17.txt,2023-07-11 16:44:03.561284,2023-07-11 16:44:12.171565,257.0,"[0, 1, 22, 35, 1, 33, 64, 20, 22, 14, 1, 16, 0, 64, 14, 64, 16, 45, 45, 20, 20, 1, 22, 14, 1, 16, 16, 64, 14, 64, 45, 22, 22, 33, 35, 35, 64, 35, 16, 16, 14, 45, 14, 1, 45, 45, 35, 35, 14, 35, 35, 64, 33, 33, 64, 22, 35, 35, 14, 20, 16, 33, 20, 35, 64, 22, 33, 0, 1, 64]"
17,syntpmed18.txt,2023-07-11 16:44:12.281435,2023-07-11 16:44:28.772456,385.0,"[0, 44, 81, 27, 4, 27, 37, 27, 4, 9, 45, 81, 44, 27, 0, 81, 0, 44, 27, 4, 4, 27, 4, 81, 68, 68, 99, 27, 44, 0, 81, 45, 4, 4, 45, 45, 9, 37, 9, 9, 4, 44, 68, 4, 44, 45, 0, 99, 68, 99, 37, 81, 99, 0, 0, 44, 44, 44, 99, 99, 99, 9, 68, 27, 44, 4, 0, 99, 68, 68, 37, 37, 0, 9, 68, 27, 37, 37, 37, 0, 68, 81, 9, 4, 9, 0, 81, 9, 45, 44, 37, 0, 81, 99, 37, 68, 0, 37, 68, 99]"
18,syntpmed19.txt,2023-07-11 16:44:28.795115,2023-07-11 16:45:07.137325,641.0,"[36, 102, 83, 102, 78, 49, 79, 49, 98, 83, 57, 79, 83, 49, 49, 78, 36, 102, 128, 57, 36, 79, 36, 79, 78, 143, 36, 79, 78, 49, 143, 78, 36, 36, 102, 143, 36, 98, 57, 102, 79, 78, 49, 78, 36, 98, 36, 57, 36, 49, 78, 36, 143, 143, 102, 78, 102, 57, 98, 128, 79, 49, 57, 78, 57, 57, 128, 49, 36, 102, 128, 98, 83, 102, 128, 57, 49, 79, 78, 79, 128, 36, 143, 83, 79, 78, 57, 128, 102, 36, 36, 79, 36, 83, 79, 98, 36, 78, 98, 36, 79, 83, 102, 102, 128, 57, 128, 102, 78, 78, 143, 57, 49, 128, 57, 143, 36, 49, 49, 98, 83, 128, 128, 128, 143, 128, 128, 143, 128, 78, 57, 128, 79, 79, 98, 49, 36, 49, 143, 143, 57, 83, 78, 143, 36, 79, 83, 98, 128, 83]"
19,syntpmed20.txt,2023-07-11 16:45:07.176885,2023-07-11 16:46:20.729976,868.0,"[88, 88, 188, 74, 186, 194, 114, 188, 186, 114, 25, 74, 188, 88, 25, 114, 186, 86, 74, 188, 186, 186, 88, 25, 188, 25, 34, 34, 188, 88, 25, 74, 131, 194, 34, 74, 88, 88, 114, 74, 186, 114, 25, 186, 131, 88, 74, 25, 86, 34, 131, 188, 25, 194, 131, 34, 114, 186, 131, 86, 188, 25, 74, 25, 188, 88, 25, 186, 131, 34, 74, 131, 131, 186, 74, 186, 34, 74, 131, 114, 194, 86, 186, 114, 25, 186, 86, 131, 88, 194, 194, 86, 74, 25, 114, 86, 25, 88, 131, 25, 25, 114, 114, 25, 131, 34, 188, 131, 34, 194, 131, 186, 114, 86, 114, 131, 114, 114, 34, 114, 86, 131, 74, 114, 131, 86, 86, 188, 114, 74, 88, 131, 114, 88, 194, 194, 88, 186, 86, 34, 88, 186, 86, 88, 186, 86, 74, 114, 74, 114, 88, 74, 194, 88, 34, 34, 88, 186, 34, 86, 86, 34, 25, 131, 74, 86, 25, 194, 86, 86, 74, 86, 186, 186, 34, 88, 88, 194, 86, 25, 25, 34, 131, 194, 34, 86, 186, 34, 188, 186, 86, 114, 86, 186, 194, 188, 188, 25, 34, 88]"
20,syntpmed21.txt,2023-07-11 16:46:20.731869,2023-07-11 16:46:21.742021,9.0,"[0, 5, 2, 3, 4, 5, 4, 7, 8, 5, 10, 11, 12, 12, 14, 15, 16, 17, 18, 10]"
21,syntpmed22.txt,2023-07-11 16:46:21.745901,2023-07-11 16:46:33.662383,81.0,"[15, 22, 24, 6, 4, 35, 6, 17, 15, 9, 10, 35, 12, 28, 22, 15, 24, 17, 18, 29, 28, 17, 22, 46, 24, 12, 46, 12, 28, 29, 18, 45, 15, 18, 35, 35, 10, 9, 9, 24, 18, 6, 29, 10, 35, 45, 46, 17, 46, 28]"
22,syntpmed23.txt,2023-07-11 16:46:33.668460,2023-07-11 16:46:58.586507,120.0,"[0, 1, 0, 50, 42, 5, 50, 5, 69, 66, 69, 11, 12, 13, 66, 37, 12, 1, 5, 13, 1, 50, 38, 11, 63, 37, 37, 31, 37, 56, 0, 31, 63, 37, 13, 11, 0, 37, 38, 11, 42, 56, 42, 13, 38, 42, 63, 12, 11, 66, 50, 66, 50, 0, 0, 0, 56, 42, 63, 11, 13, 1, 63, 63, 31, 42, 66, 0, 50, 69]"
23,syntpmed24.txt,2023-07-11 16:46:58.598010,2023-07-11 16:47:50.179186,174.0,"[19, 1, 85, 28, 6, 6, 6, 27, 22, 10, 10, 22, 85, 85, 30, 49, 10, 1, 18, 19, 35, 6, 22, 28, 99, 22, 1, 27, 28, 99, 30, 18, 28, 85, 18, 35, 85, 99, 6, 28, 99, 99, 19, 99, 19, 19, 27, 65, 1, 49, 35, 30, 65, 18, 85, 99, 1, 99, 27, 27, 18, 27, 6, 6, 35, 65, 30, 6, 94, 49, 49, 10, 6, 99, 94, 6, 6, 28, 49, 10, 35, 6, 22, 18, 94, 85, 18, 35, 1, 65, 85, 27, 19, 94, 94, 28, 30, 94, 30, 99]"
24,syntpmed25.txt,2023-07-11 16:47:50.307740,2023-07-11 16:49:44.772942,361.0,"[72, 1, 133, 56, 28, 29, 29, 28, 16, 20, 10, 28, 12, 115, 12, 1, 16, 115, 1, 29, 20, 127, 67, 127, 133, 133, 16, 10, 28, 29, 149, 20, 16, 127, 127, 120, 56, 28, 127, 56, 28, 29, 149, 72, 29, 120, 12, 115, 1, 133, 29, 29, 12, 67, 149, 29, 56, 12, 20, 56, 120, 10, 67, 67, 56, 67, 115, 67, 115, 56, 149, 56, 56, 20, 133, 127, 28, 28, 115, 120, 115, 29, 115, 72, 67, 1, 133, 20, 16, 12, 56, 28, 1, 115, 20, 56, 133, 133, 127, 16, 56, 115, 29, 12, 133, 120, 29, 10, 10, 16, 149, 20, 1, 56, 12, 115, 72, 20, 120, 72, 120, 133, 72, 149, 10, 12, 1, 127, 67, 67, 29, 56, 67, 29, 149, 127, 12, 127, 10, 72, 10, 149, 72, 56, 72, 56, 127, 12, 12, 149]"
25,syntpmed26.txt,2023-07-11 16:49:44.813033,2023-07-11 16:53:11.422315,559.0,"[15, 53, 99, 38, 33, 114, 114, 33, 26, 137, 180, 92, 16, 92, 114, 15, 16, 99, 53, 188, 20, 15, 53, 60, 20, 60, 26, 60, 180, 60, 16, 92, 188, 33, 92, 53, 20, 33, 38, 114, 15, 188, 92, 16, 180, 33, 92, 20, 114, 180, 53, 114, 16, 53, 188, 38, 26, 114, 99, 188, 60, 92, 15, 16, 188, 60, 16, 137, 33, 16, 92, 99, 137, 20, 26, 188, 26, 33, 114, 89, 188, 99, 99, 99, 180, 26, 137, 60, 26, 89, 99, 137, 92, 137, 60, 26, 38, 53, 53, 99, 33, 89, 38, 114, 114, 89, 20, 180, 33, 53, 114, 92, 26, 33, 114, 188, 89, 20, 89, 15, 33, 16, 92, 99, 53, 38, 33, 92, 180, 38, 89, 60, 89, 60, 33, 15, 92, 137, 188, 99, 137, 15, 99, 26, 60, 20, 15, 137, 89, 180, 20, 99, 20, 114, 26, 180, 99, 137, 16, 137, 26, 180, 188, 114, 137, 38, 89, 92, 92, 20, 137, 16, 20, 99, 60, 20, 26, 20, 92, 15, 180, 137, 53, 180, 89, 26, 53, 20, 188, 92, 114, 188, 114, 188, 38, 16, 188, 16, 180, 26]"
